20100128
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,241.70,241.70,239.50,240.97,-2.10,-0.0086,240.50,"2,382","572,873,340.00",&nbsp;,&nbsp;
Au9999,243.99,243.99,239.30,241.00,-1.91,-0.0079,240.63,"5,503.40","1,326,266,408.00",&nbsp;,&nbsp;
Au100g,243.80,244.50,241.00,241.95,-1.96,-0.008,242.47,92,"22,301,186.00",&nbsp;,&nbsp;
AuT+D,242.00,242.30,238.18,239.83,-2.05,-0.0085,240.27,"19,852","4,769,996,100.00","129,842",&nbsp;
Au(T+N1),239.70,239.70,239.70,239.70,-3.68,-0.0151,239.70,2,"479,400.00",34,&nbsp;
Pt9995,346.00,346.00,341.00,345.08,-0.92,-0.0027,343.88,248,"85,283,000.00",&nbsp;,&nbsp;
Ag(T+D),"3,948.00","3,954.00","3,911.00","3,928.00",-6.00,-0.0015,"3,926.00","129,850","509,905,566.00","610,344",&nbsp;
