20100602
合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量(公斤）,成交金额（元）,持仓量,交收量
Au9995,269.50,269.70,268.50,268.65,0.92,0.0034,268.84,"2,738","736,108,280.00",&nbsp;,&nbsp;
Au9999,270.90,270.90,268.50,268.50,0.81,0.003,268.85,"1,512.40","406,618,768.00",&nbsp;,&nbsp;
Au100g,269.00,269.90,268.42,268.69,0.49,0.0018,269.30,32,"8,617,616.00",&nbsp;,&nbsp;
AuT+D,268.81,269.88,268.45,268.63,0.94,0.0035,269.11,"24,076","6,479,332,780.00","108,620","5,638"
Au(T+N1),269.03,269.03,269.03,269.03,6.03,0.0229,269.03,2,"538,060.00",20,&nbsp;
Pt9995,353.00,355.50,352.00,352.26,-4.24,-0.012,353.39,426,"150,548,000.00",&nbsp;,&nbsp;
Ag99.99,"4,210.00","4,210.00","4,210.00","4,210.00",-20.00,-0.005,"4,210.00",600,"2,526,000.00",40,&nbsp;
Ag(T+D),"4,202.00","4,225.00","4,185.00","4,190.00",2.00,0.0005,"4,207.00","138,538","582,904,354.00","574,302","1,320"
